skillUri,occupationUri,relationType
http://data.europa.eu/esco/skill/S1_1,http://data.europa.eu/esco/occupation/1101,essential
http://data.europa.eu/esco/skill/S1_1,http://data.europa.eu/esco/occupation/2141,essential
http://data.europa.eu/esco/skill/S1_1,http://data.europa.eu/esco/occupation/2142,essential
http://data.europa.eu/esco/skill/S1_1,http://data.europa.eu/esco/occupation/2512,essential
http://data.europa.eu/esco/skill/S1_1,http://data.europa.eu/esco/occupation/2513,essential
http://data.europa.eu/esco/skill/S1_1,http://data.europa.eu/esco/occupation/2514,essential
http://data.europa.eu/esco/skill/S1_1,http://data.europa.eu/esco/occupation/2515,essential
http://data.europa.eu/esco/skill/S1_1,http://data.europa.eu/esco/occupation/2516,essential
http://data.europa.eu/esco/skill/S1_1,http://data.europa.eu/esco/occupation/2517,essential
http://data.europa.eu/esco/skill/S1_1,http://data.europa.eu/esco/occupation/3111,essential
http://data.europa.eu/esco/skill/S1_1,http://data.europa.eu/esco/occupation/3112,essential
http://data.europa.eu/esco/skill/S1_1,http://data.europa.eu/esco/occupation/3113,essential
http://data.europa.eu/esco/skill/S1_2,http://data.europa.eu/esco/occupation/1101,essential
http://data.europa.eu/esco/skill/S1_2,http://data.europa.eu/esco/occupation/2141,essential
http://data.europa.eu/esco/skill/S1_2,http://data.europa.eu/esco/occupation/2142,essential
http://data.europa.eu/esco/skill/S1_2,http://data.europa.eu/esco/occupation/2512,essential
http://data.europa.eu/esco/skill/S1_2,http://data.europa.eu/esco/occupation/2513,essential
http://data.europa.eu/esco/skill/S1_2,http://data.europa.eu/esco/occupation/2514,essential
http://data.europa.eu/esco/skill/S1_2,http://data.europa.eu/esco/occupation/2515,essential
http://data.europa.eu/esco/skill/S1_2,http://data.europa.eu/esco/occupation/2516,essential
http://data.europa.eu/esco/skill/S1_2,http://data.europa.eu/esco/occupation/2517,essential
http://data.europa.eu/esco/skill/S1_2,http://data.europa.eu/esco/occupation/3111,essential
http://data.europa.eu/esco/skill/S1_2,http://data.europa.eu/esco/occupation/3112,essential
http://data.europa.eu/esco/skill/S1_2,http://data.europa.eu/esco/occupation/3113,essential
http://data.europa.eu/esco/skill/S2_1,http://data.europa.eu/esco/occupation/1101,essential
http://data.europa.eu/esco/skill/S2_1,http://data.europa.eu/esco/occupation/2141,essential
http://data.europa.eu/esco/skill/S2_1,http://data.europa.eu/esco/occupation/2142,essential
http://data.europa.eu/esco/skill/S2_1,http://data.europa.eu/esco/occupation/2512,essential
http://data.europa.eu/esco/skill/S2_1,http://data.europa.eu/esco/occupation/2513,essential
http://data.europa.eu/esco/skill/S2_1,http://data.europa.eu/esco/occupation/2514,essential
http://data.europa.eu/esco/skill/S2_1,http://data.europa.eu/esco/occupation/2515,essential
http://data.europa.eu/esco/skill/S2_1,http://data.europa.eu/esco/occupation/2516,essential
http://data.europa.eu/esco/skill/S2_1,http://data.europa.eu/esco/occupation/2517,essential
http://data.europa.eu/esco/skill/S2_1,http://data.europa.eu/esco/occupation/3111,essential
http://data.europa.eu/esco/skill/S2_1,http://data.europa.eu/esco/occupation/3112,essential
http://data.europa.eu/esco/skill/S2_1,http://data.europa.eu/esco/occupation/3113,essential
http://data.europa.eu/esco/skill/S2_2,http://data.europa.eu/esco/occupation/1101,essential
http://data.europa.eu/esco/skill/S2_2,http://data.europa.eu/esco/occupation/2141,essential
http://data.europa.eu/esco/skill/S2_2,http://data.europa.eu/esco/occupation/2142,essential
http://data.europa.eu/esco/skill/S2_2,http://data.europa.eu/esco/occupation/2512,essential
http://data.europa.eu/esco/skill/S2_2,http://data.europa.eu/esco/occupation/2513,essential
http://data.europa.eu/esco/skill/S2_2,http://data.europa.eu/esco/occupation/2514,essential
http://data.europa.eu/esco/skill/S2_2,http://data.europa.eu/esco/occupation/2515,essential
http://data.europa.eu/esco/skill/S2_2,http://data.europa.eu/esco/occupation/2516,essential
http://data.europa.eu/esco/skill/S2_2,http://data.europa.eu/esco/occupation/2517,essential
http://data.europa.eu/esco/skill/S2_2,http://data.europa.eu/esco/occupation/3111,essential
http://data.europa.eu/esco/skill/S2_2,http://data.europa.eu/esco/occupation/3112,essential
