cluster_code,role_name,technology_code,technology_name,support_count_in_cluster,esco_skill_hit_count,esco_occupation_hit,overlap_matched,external_agreement_score,status_flag
JC-404786f4ee5fa73e,,T1.04.01,SLAM,1,6,1,1,1.0,high_agreement
JC-349ecbd26dab83d0,,T3.04.02,灵巧手(多指),1,5,1,1,1.0,high_agreement
JC-349ecbd26dab83d0,,T3.05.04,电机与驱动,1,5,1,1,1.0,high_agreement
JC-5b420abdc893a05e,,T1.01.11,VLA端到端大模型,1,6,1,1,1.0,high_agreement
JC-5b420abdc893a05e,,T4.02.01,合成数据,1,3,1,1,1.0,high_agreement
JC-0f6508f3c7fc52c3,,T2.01.01,激光雷达,1,2,1,1,1.0,high_agreement
JC-0f6508f3c7fc52c3,,T3.01.08,人形机器人(通用),1,6,1,1,1.0,high_agreement
JC-0f6508f3c7fc52c3,,T3.04.03,末端执行器,1,3,1,1,1.0,high_agreement
JC-0f6508f3c7fc52c3,,T3.05.04,电机与驱动,1,5,1,1,1.0,high_agreement
JC-0f6508f3c7fc52c3,,T5.01.01,ROS,1,4,1,1,1.0,high_agreement
JC-a4eabd4908c94062,,T1.01.11,VLA端到端大模型,2,6,1,1,1.0,high_agreement
JC-a4eabd4908c94062,,T2.01.01,激光雷达,2,2,1,1,1.0,high_agreement
JC-a4eabd4908c94062,,T5.01.01,ROS,2,4,1,1,1.0,high_agreement
JC-5b420abdc893a05e,,T1.05.05,机器人学习,2,3,1,1,1.0,high_agreement
JC-5d3babf8bc39b54a,,T4.04.12,Sim-to-Real虚实迁移,1,5,0,0,0.5,needs_human_review
JC-9dc8328b5f133673,,T1.01.11,VLA端到端大模型,1,6,0,0,0.5,needs_human_review
JC-9dc8328b5f133673,,T4.03.05,仿真平台与工具链,1,2,0,0,0.5,needs_human_review
JC-9dc8328b5f133673,,T5.01.02,机器人操作系统,1,4,0,0,0.5,needs_human_review
JC-d9bc30152cf35ec7,,T1.01.11,VLA端到端大模型,1,6,0,0,0.5,needs_human_review
JC-d9bc30152cf35ec7,,T1.02.10,世界模型架构,1,3,0,0,0.5,needs_human_review
JC-d9bc30152cf35ec7,,T1.05.02,强化学习,1,6,0,0,0.5,needs_human_review
JC-d9bc30152cf35ec7,,T6.04.02,评测基础设施,1,2,0,0,0.5,needs_human_review
JC-dcb66d5a50b626ee,,T1.01.06,大模型部署与推理优化,1,5,0,0,0.5,needs_human_review
JC-dcb66d5a50b626ee,,T1.01.11,VLA端到端大模型,1,6,0,0,0.5,needs_human_review
JC-dcb66d5a50b626ee,,T6.03.04,检测认证,1,0,0,0,0.5,needs_human_review
JC-150873345b368615,,T2.02.07,机器视觉,1,4,0,0,0.5,needs_human_review
JC-150873345b368615,,T3.01.08,人形机器人(通用),1,6,0,0,0.5,needs_human_review
JC-e648b0d6c24526c3,,T1.01.11,VLA端到端大模型,1,6,0,0,0.5,needs_human_review
JC-e648b0d6c24526c3,,T2.02.07,机器视觉,1,4,0,0,0.5,needs_human_review
JC-e648b0d6c24526c3,,T3.03.09,工业机械臂,1,5,0,0,0.5,needs_human_review
JC-e648b0d6c24526c3,,T4.03.05,仿真平台与工具链,1,2,0,0,0.5,needs_human_review
JC-e648b0d6c24526c3,,T5.01.02,机器人操作系统,1,4,0,0,0.5,needs_human_review
JC-e648b0d6c24526c3,,T6.01.06,人机交互(通用),1,5,0,0,0.5,needs_human_review
JC-e648b0d6c24526c3,,T7.01.08,智能制造与工业自动化,1,6,0,0,0.5,needs_human_review
JC-541a7e9a556756c5,,T1.01.11,VLA端到端大模型,1,6,0,0,0.5,needs_human_review
JC-541a7e9a556756c5,,T1.04.01,SLAM,1,6,0,0,0.5,needs_human_review
JC-541a7e9a556756c5,,T1.04.06,路径规划与轨迹,1,3,0,0,0.5,needs_human_review
JC-541a7e9a556756c5,,T2.01.01,激光雷达,1,2,0,0,0.5,needs_human_review
JC-541a7e9a556756c5,,T3.01.08,人形机器人(通用),1,6,0,0,0.5,needs_human_review
JC-541a7e9a556756c5,,T4.03.05,仿真平台与工具链,1,2,0,0,0.5,needs_human_review
JC-541a7e9a556756c5,,T5.01.01,ROS,1,4,0,0,0.5,needs_human_review
JC-541a7e9a556756c5,,T5.01.02,机器人操作系统,1,4,0,0,0.5,needs_human_review
JC-541a7e9a556756c5,,T5.04.02,云边端协同,1,1,0,0,0.5,needs_human_review
JC-611577b63bc2dfd5,agent应用负责人 · T1,T4.03.05,仿真平台与工具链,1,2,0,0,0.5,needs_human_review
JC-611577b63bc2dfd5,agent应用负责人 · T1,T5.01.02,机器人操作系统,1,4,0,0,0.5,needs_human_review
JC-f2945c4b0fb664ed,,T1.01.11,VLA端到端大模型,1,6,0,0,0.5,needs_human_review
JC-f2945c4b0fb664ed,,T3.05.01,一体化关节模组,1,5,0,0,0.5,needs_human_review
JC-f2945c4b0fb664ed,,T3.05.03,执行器,1,5,0,0,0.5,needs_human_review
JC-f2945c4b0fb664ed,,T3.05.04,电机与驱动,1,5,0,0,0.5,needs_human_review
JC-f2945c4b0fb664ed,,T3.06.02,精密减速器,1,3,0,0,0.5,needs_human_review
JC-f2945c4b0fb664ed,,T4.03.05,仿真平台与工具链,1,2,0,0,0.5,needs_human_review
JC-f2945c4b0fb664ed,,T5.01.02,机器人操作系统,1,4,0,0,0.5,needs_human_review
JC-2db34ba1fd881297,,T1.01.11,VLA端到端大模型,1,6,0,0,0.5,needs_human_review
JC-2db34ba1fd881297,,T4.03.05,仿真平台与工具链,1,2,0,0,0.5,needs_human_review
JC-2db34ba1fd881297,,T5.01.02,机器人操作系统,1,4,0,0,0.5,needs_human_review
JC-383c789399a09d83,,T1.01.11,VLA端到端大模型,1,6,0,0,0.5,needs_human_review
JC-383c789399a09d83,,T1.03.12,运动控制(通用),1,5,0,0,0.5,needs_human_review
JC-383c789399a09d83,,T4.03.05,仿真平台与工具链,1,2,0,0,0.5,needs_human_review
JC-383c789399a09d83,,T5.01.01,ROS,1,4,0,0,0.5,needs_human_review
JC-383c789399a09d83,,T5.01.02,机器人操作系统,1,4,0,0,0.5,needs_human_review
JC-9f60d927f41ba1cd,,T4.04.12,Sim-to-Real虚实迁移,1,5,0,0,0.5,needs_human_review
JC-150873345b368615,,T5.01.01,ROS,1,4,0,0,0.5,needs_human_review
JC-450f0cc1ed541dac,ai产品经理 · T1,T4.03.05,仿真平台与工具链,1,2,0,0,0.5,needs_human_review
JC-450f0cc1ed541dac,ai产品经理 · T1,T5.01.02,机器人操作系统,1,4,0,0,0.5,needs_human_review
JC-bed8082cc8a764e6,,T1.01.11,VLA端到端大模型,1,6,0,0,0.5,needs_human_review
JC-bed8082cc8a764e6,,T4.03.05,仿真平台与工具链,1,2,0,0,0.5,needs_human_review
JC-bed8082cc8a764e6,,T5.01.02,机器人操作系统,1,4,0,0,0.5,needs_human_review
JC-7df7279bbb91daa7,,T1.01.11,VLA端到端大模型,1,6,0,0,0.5,needs_human_review
JC-7df7279bbb91daa7,,T1.02.10,世界模型架构,1,3,0,0,0.5,needs_human_review
JC-7df7279bbb91daa7,,T1.03.01,全身控制(WBC),1,5,0,0,0.5,needs_human_review
JC-7df7279bbb91daa7,,T1.03.12,运动控制(通用),1,5,0,0,0.5,needs_human_review
JC-7df7279bbb91daa7,,T1.05.02,强化学习,1,6,0,0,0.5,needs_human_review
JC-7df7279bbb91daa7,,T1.05.03,模仿学习,1,3,0,0,0.5,needs_human_review
JC-7df7279bbb91daa7,,T3.02.01,四足机器人,1,5,0,0,0.5,needs_human_review
JC-7df7279bbb91daa7,,T5.01.01,ROS,1,4,0,0,0.5,needs_human_review
JC-53c485a0e1c60a45,,T2.02.07,机器视觉,1,4,0,0,0.5,needs_human_review
JC-53c485a0e1c60a45,,T4.01.04,数据集,1,3,0,0,0.5,needs_human_review
JC-53c485a0e1c60a45,,T4.03.05,仿真平台与工具链,1,2,0,0,0.5,needs_human_review
JC-53c485a0e1c60a45,,T6.04.02,评测基础设施,1,2,0,0,0.5,needs_human_review
JC-8a17722c74604001,,T1.03.03,力控与柔顺控制,1,6,0,0,0.5,needs_human_review
JC-8a17722c74604001,,T3.06.02,精密减速器,1,3,0,0,0.5,needs_human_review
JC-c2eb1ed7f1555d8b,,T1.01.11,VLA端到端大模型,1,6,0,0,0.5,needs_human_review
JC-c2eb1ed7f1555d8b,,T1.03.03,力控与柔顺控制,1,6,0,0,0.5,needs_human_review
JC-c2eb1ed7f1555d8b,,T1.03.12,运动控制(通用),1,5,0,0,0.5,needs_human_review
JC-c2eb1ed7f1555d8b,,T1.05.02,强化学习,1,6,0,0,0.5,needs_human_review
JC-c2eb1ed7f1555d8b,,T1.06.03,多模态感知融合,1,6,0,0,0.5,needs_human_review
JC-c2eb1ed7f1555d8b,,T3.01.08,人形机器人(通用),1,6,0,0,0.5,needs_human_review
JC-c2eb1ed7f1555d8b,,T3.05.01,一体化关节模组,1,5,0,0,0.5,needs_human_review
JC-c2eb1ed7f1555d8b,,T3.05.02,关节驱动控制,1,6,0,0,0.5,needs_human_review
JC-c2eb1ed7f1555d8b,,T3.05.04,电机与驱动,1,5,0,0,0.5,needs_human_review
JC-c2eb1ed7f1555d8b,,T5.01.01,ROS,1,4,0,0,0.5,needs_human_review
JC-c2eb1ed7f1555d8b,,T5.01.02,机器人操作系统,1,4,0,0,0.5,needs_human_review
JC-c2eb1ed7f1555d8b,,T6.01.06,人机交互(通用),1,5,0,0,0.5,needs_human_review
