source,target,type
tech:T1.01,tech:T1,belongs_to
tech:T1.02,tech:T1,belongs_to
tech:T1.03,tech:T1,belongs_to
tech:T1.04,tech:T1,belongs_to
tech:T1.05,tech:T1,belongs_to
tech:T1.06,tech:T1,belongs_to
tech:T1.07,tech:T1,belongs_to
tech:T1.08,tech:T1,belongs_to
tech:T1.09,tech:T1,belongs_to
tech:T2.01,tech:T2,belongs_to
tech:T2.02,tech:T2,belongs_to
tech:T2.03,tech:T2,belongs_to
tech:T2.04,tech:T2,belongs_to
tech:T2.05,tech:T2,belongs_to
tech:T3.01,tech:T3,belongs_to
tech:T3.02,tech:T3,belongs_to
tech:T3.03,tech:T3,belongs_to
tech:T3.04,tech:T3,belongs_to
tech:T3.05,tech:T3,belongs_to
tech:T3.06,tech:T3,belongs_to
tech:T3.07,tech:T3,belongs_to
tech:T3.08,tech:T3,belongs_to
tech:T4.01,tech:T4,belongs_to
tech:T4.02,tech:T4,belongs_to
tech:T4.03,tech:T4,belongs_to
tech:T4.04,tech:T4,belongs_to
tech:T4.05,tech:T4,belongs_to
tech:T5.01,tech:T5,belongs_to
tech:T5.02,tech:T5,belongs_to
tech:T5.03,tech:T5,belongs_to
tech:T5.04,tech:T5,belongs_to
tech:T6.01,tech:T6,belongs_to
tech:T6.02,tech:T6,belongs_to
tech:T6.03,tech:T6,belongs_to
tech:T6.04,tech:T6,belongs_to
tech:T7.01,tech:T7,belongs_to
tech:T7.02,tech:T7,belongs_to
tech:T7.03,tech:T7,belongs_to
tech:T7.04,tech:T7,belongs_to
tech:T7.05,tech:T7,belongs_to
tech:T7.06,tech:T7,belongs_to
tech:T7.07,tech:T7,belongs_to
tech:T7.08,tech:T7,belongs_to
tech:T1.01.01,tech:T1.01,belongs_to
tech:T1.01.02,tech:T1.01,belongs_to
tech:T1.01.03,tech:T1.01,belongs_to
tech:T1.01.04,tech:T1.01,belongs_to
tech:T1.01.05,tech:T1.01,belongs_to
tech:T1.01.06,tech:T1.01,belongs_to
tech:T1.01.07,tech:T1.01,belongs_to
tech:T1.01.08,tech:T1.01,belongs_to
tech:T1.01.09,tech:T1.01,belongs_to
tech:T1.01.10,tech:T1.01,belongs_to
tech:T1.01.11,tech:T1.01,belongs_to
tech:T1.01.12,tech:T1.01,belongs_to
tech:T1.02.01,tech:T1.02,belongs_to
tech:T1.02.02,tech:T1.02,belongs_to
tech:T1.02.03,tech:T1.02,belongs_to
tech:T1.02.04,tech:T1.02,belongs_to
tech:T1.02.05,tech:T1.02,belongs_to
tech:T1.02.06,tech:T1.02,belongs_to
tech:T1.02.07,tech:T1.02,belongs_to
tech:T1.02.08,tech:T1.02,belongs_to
tech:T1.02.09,tech:T1.02,belongs_to
tech:T1.02.10,tech:T1.02,belongs_to
tech:T1.03.01,tech:T1.03,belongs_to
tech:T1.03.02,tech:T1.03,belongs_to
tech:T1.03.03,tech:T1.03,belongs_to
tech:T1.03.04,tech:T1.03,belongs_to
tech:T1.03.05,tech:T1.03,belongs_to
tech:T1.03.06,tech:T1.03,belongs_to
tech:T1.03.07,tech:T1.03,belongs_to
tech:T1.03.08,tech:T1.03,belongs_to
tech:T1.03.09,tech:T1.03,belongs_to
tech:T1.03.10,tech:T1.03,belongs_to
tech:T1.03.11,tech:T1.03,belongs_to
tech:T1.03.12,tech:T1.03,belongs_to
tech:T1.03.13,tech:T1.03,belongs_to
tech:T1.04.01,tech:T1.04,belongs_to
tech:T1.04.02,tech:T1.04,belongs_to
tech:T1.04.03,tech:T1.04,belongs_to
tech:T1.04.04,tech:T1.04,belongs_to
tech:T1.04.05,tech:T1.04,belongs_to
tech:T1.04.06,tech:T1.04,belongs_to
tech:T1.04.07,tech:T1.04,belongs_to
tech:T1.04.08,tech:T1.04,belongs_to
tech:T1.04.09,tech:T1.04,belongs_to
tech:T1.04.10,tech:T1.04,belongs_to
tech:T1.05.01,tech:T1.05,belongs_to
tech:T1.05.02,tech:T1.05,belongs_to
tech:T1.05.03,tech:T1.05,belongs_to
tech:T1.05.04,tech:T1.05,belongs_to
tech:T1.05.05,tech:T1.05,belongs_to
tech:T1.05.06,tech:T1.05,belongs_to
tech:T1.05.07,tech:T1.05,belongs_to
tech:T1.05.08,tech:T1.05,belongs_to
tech:T1.06.01,tech:T1.06,belongs_to
tech:T1.06.02,tech:T1.06,belongs_to
tech:T1.06.03,tech:T1.06,belongs_to
tech:T1.06.04,tech:T1.06,belongs_to
tech:T1.06.05,tech:T1.06,belongs_to
tech:T1.06.06,tech:T1.06,belongs_to
tech:T1.06.07,tech:T1.06,belongs_to
tech:T1.06.08,tech:T1.06,belongs_to
tech:T1.06.09,tech:T1.06,belongs_to
tech:T1.06.10,tech:T1.06,belongs_to
tech:T1.07.01,tech:T1.07,belongs_to
tech:T1.07.02,tech:T1.07,belongs_to
tech:T1.07.03,tech:T1.07,belongs_to
tech:T1.07.04,tech:T1.07,belongs_to
tech:T1.07.05,tech:T1.07,belongs_to
