skill_term,skill_term_raw,l4_type,l1_code,l2_name,l3_name
机器学习,机器学习,细分词,AI,机器学习与数据挖掘,
深度学习,深度学习,细分词,AI,机器学习与数据挖掘,
强化学习,强化学习,细分词,AI,机器学习与数据挖掘,
联邦学习,联邦学习,细分词,AI,机器学习与数据挖掘,
迁移学习,迁移学习,细分词,AI,机器学习与数据挖掘,
AutoML,AutoML,细分词,AI,机器学习与数据挖掘,
特征工程,特征工程,细分词,AI,机器学习与数据挖掘,
模型压缩,模型压缩,细分词,AI,机器学习与数据挖掘,
模型蒸馏,模型蒸馏,细分词,AI,机器学习与数据挖掘,
模型量化,模型量化,细分词,AI,机器学习与数据挖掘,
scikit-learn,scikit-learn,细分词,AI,机器学习与数据挖掘,
XGBoost,XGBoost,细分词,AI,机器学习与数据挖掘,
PyTorch,PyTorch,细分词,AI,深度学习框架,
TensorFlow,TensorFlow,细分词,AI,深度学习框架,
PaddlePaddle,PaddlePaddle,细分词,AI,深度学习框架,
MindSpore,MindSpore,细分词,AI,深度学习框架,
JAX,JAX,细分词,AI,深度学习框架,
大语言模型,大语言模型,细分词,AI,大模型与生成式AI,
LLM,LLM,细分词,AI,大模型与生成式AI,
多模态大模型,多模态大模型,细分词,AI,大模型与生成式AI,
AIGC,AIGC,细分词,AI,大模型与生成式AI,
Prompt工程,Prompt工程,细分词,AI,大模型与生成式AI,
RAG,RAG,细分词,AI,大模型与生成式AI,
智能体,智能体,细分词,AI,大模型与生成式AI,
Agent开发,Agent开发,细分词,AI,大模型与生成式AI,
模型微调,模型微调,细分词,AI,大模型与生成式AI,
LoRA,LoRA,细分词,AI,大模型与生成式AI,
RLHF,RLHF,细分词,AI,大模型与生成式AI,
LangChain,LangChain,细分词,AI,大模型与生成式AI,
vLLM,vLLM,细分词,AI,大模型与生成式AI,
计算机视觉,计算机视觉,细分词,AI,视觉与语音智能,
图像识别,图像识别,细分词,AI,视觉与语音智能,
目标检测,目标检测,细分词,AI,视觉与语音智能,
图像分割,图像分割,细分词,AI,视觉与语音智能,
OCR,OCR,细分词,AI,视觉与语音智能,
视频分析,视频分析,细分词,AI,视觉与语音智能,
OpenCV,OpenCV,细分词,AI,视觉与语音智能,
语音识别,语音识别,细分词,AI,视觉与语音智能,
语音合成,语音合成,细分词,AI,视觉与语音智能,
ASR,ASR,细分词,AI,视觉与语音智能,
TTS,TTS,细分词,AI,视觉与语音智能,
NLP,NLP,细分词,AI,自然语言处理,
自然语言处理,自然语言处理,细分词,AI,自然语言处理,
文本分类,文本分类,细分词,AI,自然语言处理,
命名实体识别,命名实体识别,细分词,AI,自然语言处理,
知识图谱,知识图谱,细分词,AI,自然语言处理,
语义理解,语义理解,细分词,AI,自然语言处理,
对话系统,对话系统,细分词,AI,自然语言处理,
推荐算法,推荐算法,细分词,AI,推荐与搜索,
推荐系统,推荐系统,细分词,AI,推荐与搜索,
搜索引擎,搜索引擎,细分词,AI,推荐与搜索,
召回算法,召回算法,细分词,AI,推荐与搜索,
排序学习,排序学习,细分词,AI,推荐与搜索,
AI芯片,AI芯片,细分词,AI,智能算力与部署,
GPU加速,GPU加速,细分词,AI,智能算力与部署,
CUDA,CUDA,细分词,AI,智能算力与部署,
模型部署,模型部署,细分词,AI,智能算力与部署,
TensorRT,TensorRT,细分词,AI,智能算力与部署,
ONNX,ONNX,细分词,AI,智能算力与部署,
推理加速,推理加速,细分词,AI,智能算力与部署,
MLOps,MLOps,细分词,AI,智能算力与部署,
Hadoop,Hadoop,细分词,BD,大数据平台,
Spark,Spark,细分词,BD,大数据平台,
Flink,Flink,细分词,BD,大数据平台,
Kafka,Kafka,细分词,BD,大数据平台,
Hive,Hive,细分词,BD,大数据平台,
HBase,HBase,细分词,BD,大数据平台,
ClickHouse,ClickHouse,细分词,BD,大数据平台,
Doris,Doris,细分词,BD,大数据平台,
StarRocks,StarRocks,细分词,BD,大数据平台,
数据湖,数据湖,细分词,BD,大数据平台,
湖仓一体,湖仓一体,细分词,BD,大数据平台,
数据中台,数据中台,细分词,BD,大数据平台,
ETL,ETL,细分词,BD,数据集成与治理,
数据清洗,数据清洗,细分词,BD,数据集成与治理,
数据治理,数据治理,细分词,BD,数据集成与治理,
数据质量,数据质量,细分词,BD,数据集成与治理,
元数据管理,元数据管理,细分词,BD,数据集成与治理,
主数据管理,主数据管理,细分词,BD,数据集成与治理,
数据血缘,数据血缘,细分词,BD,数据集成与治理,
数据仓库,数据仓库,细分词,BD,数据仓库与建模,
数据建模,数据建模,细分词,BD,数据仓库与建模,
维度建模,维度建模,细分词,BD,数据仓库与建模,
数据集市,数据集市,细分词,BD,数据仓库与建模,
OLAP,OLAP,细分词,BD,数据仓库与建模,
BI报表,BI报表,细分词,BD,数据分析与可视化,
数据可视化,数据可视化,细分词,BD,数据分析与可视化,
Tableau,Tableau,细分词,BD,数据分析与可视化,
帆软FineBI,帆软FineBI,细分词,BD,数据分析与可视化,
PowerBI,Power BI,细分词,BD,数据分析与可视化,
用户画像,用户画像,细分词,BD,数据分析与可视化,
AB测试,AB测试,细分词,BD,数据分析与可视化,
指标体系,指标体系,细分词,BD,数据分析与可视化,
实时计算,实时计算,细分词,BD,实时与流式计算,
流式计算,流式计算,细分词,BD,实时与流式计算,
实时数仓,实时数仓,细分词,BD,实时与流式计算,
数据管道,数据管道,细分词,BD,实时与流式计算,
数据安全,数据安全,细分词,BD,数据安全与隐私,
隐私计算,隐私计算,细分词,BD,数据安全与隐私,
数据脱敏,数据脱敏,细分词,BD,数据安全与隐私,
数据合规,数据合规,细分词,BD,数据安全与隐私,
传感器,传感器,细分词,IOT,传感与感知,
MEMS,MEMS,细分词,IOT,传感与感知,
智能传感,智能传感,细分词,IOT,传感与感知,
多传感融合,多传感融合,细分词,IOT,传感与感知,
RFID,RFID,细分词,IOT,物联接入与标识,
NFC,NFC,细分词,IOT,物联接入与标识,
蓝牙,蓝牙,细分词,IOT,物联接入与标识,
ZigBee,ZigBee,细分词,IOT,物联接入与标识,
LoRa,LoRa,细分词,IOT,物联接入与标识,
NB-IoT,NB-IoT,细分词,IOT,物联接入与标识,
5G通信,5G通信,细分词,IOT,物联接入与标识,
WiFi6,WiFi 6,细分词,IOT,物联接入与标识,
物联网平台,物联网平台,细分词,IOT,物联网平台,
IoT平台,IoT平台,细分词,IOT,物联网平台,
设备接入,设备接入,细分词,IOT,物联网平台,
设备管理,设备管理,细分词,IOT,物联网平台,
物模型,物模型,细分词,IOT,物联网平台,
数字孪生,数字孪生,细分词,IOT,物联网平台,
MQTT,MQTT,细分词,IOT,物联协议与通信,
CoAP,CoAP,细分词,IOT,物联协议与通信,
Modbus,Modbus,细分词,IOT,物联协议与通信,
OPC UA,OPC UA,细分词,IOT,物联协议与通信,
边缘计算,边缘计算,细分词,IOT,边缘与端侧智能,
边缘网关,边缘网关,细分词,IOT,边缘与端侧智能,
端侧推理,端侧推理,细分词,IOT,边缘与端侧智能,
嵌入式开发,嵌入式开发,细分词,IOT,嵌入式与实时系统,
RTOS,RTOS,细分词,IOT,嵌入式与实时系统,
FreeRTOS,FreeRTOS,细分词,IOT,嵌入式与实时系统,
嵌入式Linux,嵌入式Linux,细分词,IOT,嵌入式与实时系统,
单片机,单片机,细分词,IOT,嵌入式与实时系统,
STM32,STM32,细分词,IOT,嵌入式与实时系统,
ARM 开发,ARM开发,细分词,IOT,嵌入式与实时系统,
固件开发,固件开发,细分词,IOT,嵌入式与实时系统,
OTA升级,OTA升级,细分词,IOT,嵌入式与实时系统,
工业物联网,工业物联网,细分词,IOT,工业物联网,
IIoT,IIoT,细分词,IOT,工业物联网,
工业互联网,工业互联网,细分词,IOT,工业物联网,
智能制造,智能制造,细分词,IOT,工业物联网,
SCADA,SCADA,细分词,IOT,工业物联网,
PLC,PLC,细分词,IOT,工业物联网,
DCS,DCS,细分词,IOT,工业物联网,
预测性维护,预测性维护,细分词,IOT,工业物联网,
智能家居,智能家居,细分词,IOT,智能场景应用,
车联网,车联网,细分词,IOT,智能场景应用,
V2X,V2X,细分词,IOT,智能场景应用,
智慧城市,智慧城市,细分词,IOT,智能场景应用,
智慧农业,智慧农业,细分词,IOT,智能场景应用,
智慧医疗,智慧医疗,细分词,IOT,智能场景应用,
智能座舱,智能座舱,细分词,IOT,智能场景应用,
自动驾驶,自动驾驶,细分词,IS,智能系统与自动驾驶,
ADAS,ADAS,细分词,IS,智能系统与自动驾驶,
感知算法,感知算法,细分词,IS,智能系统与自动驾驶,
决策规划,决策规划,细分词,IS,智能系统与自动驾驶,
路径规划,路径规划,细分词,IS,智能系统与自动驾驶,
SLAM,SLAM,细分词,IS,智能系统与自动驾驶,
激光雷达,激光雷达,细分词,IS,智能系统与自动驾驶,
毫米波雷达,毫米波雷达,细分词,IS,智能系统与自动驾驶,
车路协同,车路协同,细分词,IS,智能系统与自动驾驶,
机器人控制,机器人控制,细分词,IS,智能控制与机器人,
运动控制,运动控制,细分词,IS,智能控制与机器人,
PLC编程,PLC编程,细分词,IS,智能控制与机器人,
工控系统,工控系统,细分词,IS,智能控制与机器人,
ROS,ROS,细分词,IS,智能控制与机器人,
协作机器人,协作机器人,细分词,IS,智能控制与机器人,
AGV,AGV,细分词,IS,智能控制与机器人,
AMR,AMR,细分词,IS,智能控制与机器人,
无人机,无人机,细分词,IS,智能控制与机器人,
飞控,飞控,细分词,IS,智能控制与机器人,
云计算,云计算,细分词,IS,云原生与分布式系统,
微服务,微服务,细分词,IS,云原生与分布式系统,
容器化,容器化,细分词,IS,云原生与分布式系统,
Kubernetes,Kubernetes,细分词,IS,云原生与分布式系统,
Docker,Docker,细分词,IS,云原生与分布式系统,
DevOps,DevOps,细分词,IS,云原生与分布式系统,
分布式系统,分布式系统,细分词,IS,云原生与分布式系统,
中间件开发,中间件开发,细分词,IS,云原生与分布式系统,
消息队列,消息队列,细分词,IS,云原生与分布式系统,
后端开发,后端开发,细分词,IS,软件与系统开发,
前端开发,前端开发,细分词,IS,软件与系统开发,
全栈开发,全栈开发,细分词,IS,软件与系统开发,
Java开发,Java开发,细分词,IS,软件与系统开发,
Go语言,Go语言,细分词,IS,软件与系统开发,
Python开发,Python开发,细分词,IS,软件与系统开发,
C++ 开发,C++开发,细分词,IS,软件与系统开发,
SpringCloud,Spring Cloud,细分词,IS,软件与系统开发,
MySQL,MySQL,细分词,IS,软件与系统开发,
Redis,Redis,细分词,IS,软件与系统开发,
MongoDB,MongoDB,细分词,IS,软件与系统开发,
小程序开发,小程序开发,细分词,IS,软件与系统开发,
Android开发,Android开发,细分词,IS,软件与系统开发,
iOS开发,iOS开发,细分词,IS,软件与系统开发,
网络安全,网络安全,细分词,IS,系统安全与测试,
渗透测试,渗透测试,细分词,IS,系统安全与测试,
信息安全,信息安全,细分词,IS,系统安全与测试,
测试开发,测试开发,细分词,IS,系统安全与测试,
自动化测试,自动化测试,细分词,IS,系统安全与测试,
性能测试,性能测试,细分词,IS,系统安全与测试,
区块链,区块链,细分词,IS,前沿智能技术,
智能合约,智能合约,细分词,IS,前沿智能技术,
XR开发,XR开发,细分词,IS,前沿智能技术,
元宇宙,元宇宙,细分词,IS,前沿智能技术,
脑机接口,脑机接口,细分词,IS,前沿智能技术,
量子计算,量子计算,细分词,IS,前沿智能技术,
